,country,province,region_1,Lat,Lng
179,Italy,Northeastern Italy,Alto Adige,46.4336662,11.1693296
181,Italy,Veneto,Soave Classico,45.4223008,11.2485921
183,France,Bordeaux,Graves,44.820387,-0.5996032
185,US,California,Monterey County,36.3136201,-121.3541631
186,France,Burgundy,Santenay,46.912833,4.696534
187,France,Southwest France,Côtes du Tarn,43.9264401,1.9881527
188,France,Burgundy,Pouilly-Fuissé,46.2890296,4.7403944
195,US,California,Clear Lake,38.9582307,-122.6263728
198,Italy,Veneto,Amarone della Valpolicella Classico,45.76233329999999,11.690976
220,France,Provence,Côtes de Provence,43.44632319999999,6.4699991
225,Spain,Galicia,Rías Baixas,42.4270967,-8.814226399999999
227,US,California,Paso Robles Willow Creek District,35.5812742,-120.7849327
245,US,Oregon,Umpqua Valley,43.2113549,-123.3464928
251,France,Burgundy,Pommard,47.00931,4.795325
256,US,California,Dry Creek Valley,38.61054,-122.873166
261,Canada,British Columbia,Okanagan Valley,49.8879519,-119.4960106
266,US,California,Santa Ynez Valley,34.5841542,-120.0973685
267,France,Rhône Valley,Côtes du Rhône Villages,45.7895449,5.179355
268,France,Rhône Valley,Châteauneuf-du-Pape,44.054065,4.834646
269,US,California,Alexander Valley,38.65649,-122.786907
272,Spain,Spain Other,Spain,40.4272595,-3.6812251
273,US,California,Sonoma Valley,38.291859,-122.4580356
281,US,California,Lodi,38.1341477,-121.2722194
287,Italy,Tuscany,Bolgheri,43.2336764,10.6170139
289,Spain,Andalucia,Manzanilla-Sanlúcar de Barrameda,36.7754065,-6.342858199999999
294,Italy,Veneto,Soave,45.4544384,11.2358335
296,Argentina,Other,San Juan,38.3002486,-109.2732565
302,US,California,South Coast,41.0006957,-123.0483683
306,France,Southwest France,Gaillac,43.9018159,1.896506
308,US,California,Carmel Valley,36.4799024,-121.7327931
322,US,California,Green Valley,34.6216542,-118.4139702
326,Canada,Ontario,Beamsville Bench,43.1588749,-79.4921643
